date,flow,pressure
2/6/2023 22:00,156,14.5
2/6/2023 23:00,128,13.5
2/7/2023 0:00,112,14.5
2/7/2023 1:00,96,15
2/7/2023 2:00,100,16
2/7/2023 3:00,112,16.5
2/7/2023 4:00,108,17
2/7/2023 5:00,100,16.5
2/7/2023 6:00,132,15
2/7/2023 7:00,140,13.5
2/7/2023 8:00,148,14.5
2/7/2023 9:00,144,14
2/7/2023 10:00,144,14.5
2/7/2023 11:00,152,14
2/7/2023 12:00,144,14
2/7/2023 13:00,144,14
2/7/2023 14:00,136,14
2/7/2023 15:00,128,14.5
2/7/2023 16:00,128,14
2/7/2023 17:00,156,13.5
2/7/2023 18:00,144,13.5
2/7/2023 19:00,132,13.5
2/7/2023 20:00,152,13.5
2/7/2023 21:00,128,14
2/7/2023 22:00,128,13
2/7/2023 23:00,120,13
2/8/2023 0:00,108,14
2/8/2023 1:00,120,14.5
2/8/2023 2:00,116,16
2/8/2023 3:00,112,16.5
2/8/2023 4:00,100,16.5
2/8/2023 5:00,120,16
2/8/2023 6:00,120,15
2/8/2023 7:00,124,14
2/8/2023 8:00,144,14
2/8/2023 9:00,132,14.5
2/8/2023 10:00,152,14.5
2/8/2023 11:00,140,14.5
2/8/2023 12:00,152,14
2/8/2023 13:00,144,14.5
2/8/2023 14:00,148,14.5
2/8/2023 15:00,132,14
2/8/2023 16:00,132,13.5
2/8/2023 17:00,128,13.5
2/8/2023 18:00,144,13
2/8/2023 19:00,156,12.5
2/8/2023 20:00,164,13
2/8/2023 21:00,136,13.5
2/8/2023 22:00,152,13.5
2/8/2023 23:00,116,13.5
2/9/2023 0:00,104,14.5
2/9/2023 1:00,112,15
2/9/2023 2:00,112,15.5
2/9/2023 3:00,108,16
2/9/2023 4:00,108,16.5
2/9/2023 5:00,96,15.5
2/9/2023 6:00,112,13.5
2/9/2023 7:00,148,14
2/9/2023 8:00,120,14
2/9/2023 9:00,152,14.5
2/9/2023 10:00,144,14.5
2/9/2023 11:00,152,14
2/9/2023 12:00,124,14
2/9/2023 13:00,132,14
2/9/2023 14:00,124,14.5
2/9/2023 15:00,136,14.5
2/9/2023 16:00,160,14.5
2/9/2023 17:00,140,14.5
2/9/2023 18:00,148,14
2/9/2023 19:00,160,14
2/9/2023 20:00,140,14
2/9/2023 21:00,120,14
2/9/2023 22:00,140,14.5
2/9/2023 23:00,140,15.5
2/10/2023 0:00,116,14.5
2/10/2023 1:00,120,15.5
2/10/2023 2:00,112,16
2/10/2023 3:00,124,17
2/10/2023 4:00,108,17
2/10/2023 5:00,124,17.5
2/10/2023 6:00,116,14.5
2/10/2023 7:00,156,14
2/10/2023 8:00,148,14.5
2/10/2023 9:00,140,14.5
2/10/2023 10:00,124,14
2/10/2023 11:00,140,14
2/10/2023 12:00,140,14
2/10/2023 13:00,152,14.5
2/10/2023 14:00,140,14
2/10/2023 15:00,132,14
2/10/2023 16:00,148,14.5
2/10/2023 17:00,156,14
2/10/2023 18:00,136,13.5
2/10/2023 19:00,144,14
2/10/2023 20:00,168,14.5
2/10/2023 21:00,164,14.5
2/10/2023 22:00,148,14.5
2/10/2023 23:00,128,14.5
2/11/2023 0:00,128,14.5
2/11/2023 1:00,124,15.5
2/11/2023 2:00,116,16
2/11/2023 3:00,108,16.5
2/11/2023 4:00,108,17
2/11/2023 5:00,100,16.5
2/11/2023 6:00,120,15.5
2/11/2023 7:00,144,14
2/11/2023 8:00,140,14
2/11/2023 9:00,140,13.5
2/11/2023 10:00,156,13.5
2/11/2023 11:00,160,14
2/11/2023 12:00,164,13.5
2/11/2023 13:00,156,14
2/11/2023 14:00,132,14
2/11/2023 15:00,144,14
2/11/2023 16:00,148,13.5
2/11/2023 17:00,156,13.5
2/11/2023 18:00,168,14
2/11/2023 19:00,172,14.5
2/11/2023 20:00,132,14
2/11/2023 21:00,144,14.5
2/11/2023 22:00,140,14
